MIN,MAX,MEAN,RMS,VAR,STD,POWER,PEAK,P2P,CREST FACTOR,FORM FACTOR,PULSE INDICATOR,MAX_f,SUM_f,MEAN_f,VAR_f,PEAK_f,DAMAGE
0.060973536381611154,-0.2138059045129995,0.2691868482202752,0.26558595113130173,0.250172039917397,0.26252165542762373,0.2674352316457081,0.17268443566949931,0.13726642290710006,0.16179871944863128,0.2543645443832643,0.16368273016652424,0.2795849445125626,0.2674352316457081,0.2674352316457081,0.298526203592441,0.2795849445125626,2.0
0.2700256560483826,-0.14577675513409333,0.2404372360253961,0.24747463316158932,0.23279011143385478,0.25323749763121856,0.23220405640527575,0.24332807675045742,0.2177329499104126,0.24467439150018302,0.26535927810822146,0.2582224508793667,0.22305376578492067,0.23220405640527597,0.23220405640527597,0.19011703823315157,0.22305376578492067,1.0
0.2714774111397623,-0.25105996088995786,0.2646033886849123,0.30372355184029964,0.4026852159339306,0.3330646890349054,0.3497561533870749,0.24463629604882967,0.2697995234515159,0.20043308229305315,0.2959295835655217,0.23590057152297178,0.27014498495120604,0.349756153387075,0.34975615338707494,0.2788953695459383,0.27014498495120604,0.0
0.21195561463898765,-0.15468533826005668,0.24982698351151775,0.31306027955849985,0.4643457438492061,0.3576567978072899,0.37159029376797315,0.19099945102003535,0.1905163284164533,0.15182075010464124,0.3230679971233779,0.1950726020344009,0.24081569839410324,0.3715902937679729,0.3715902937679729,0.22286641570697313,0.24081569839410324,2.0
0.3948762085732779,-0.24377113557839486,0.23085596145101156,0.22828078322153325,0.185560924769981,0.22609398752789794,0.19758188832926227,0.3558345891748597,0.333304960746685,0.3878875054066593,0.25493741316020957,0.39328788641522755,0.2056308609897743,0.19758188832926238,0.19758188832926238,0.16135071572909773,0.2056308609897743,1.0
0.17711359384949557,-0.2672573806412494,0.26705072712304523,0.2986157835017974,0.37816243154032325,0.3227638893721499,0.33809125819598107,0.21585554458687414,0.22641070482017595,0.17987774412271115,0.28828650216174756,0.20624002186911733,0.27516528087657943,0.3380912581959811,0.3380912581959811,0.2898075754987027,0.27516528087657943,1.0
0.30196416665511516,-0.23891189607648924,0.24375610448088952,0.23596809506189179,0.19072545288603343,0.22921871666041196,0.21111300958295448,0.2721088099368545,0.28044949738997654,0.28695665352397537,0.2495761612777064,0.2848331969760096,0.22925409796668247,0.21111300958295445,0.21111300958295445,0.20055506085456867,0.22925409796668247,2.0
0.324466299588966,-0.27454622858034267,0.2668142695915456,0.24871869509611272,0.19609796694155707,0.23242470843938406,0.2345445170688397,0.2923861450971697,0.3100327828204356,0.2925333209835442,0.24032817731462222,0.2796090597687008,0.27467821163531053,0.23454451706883986,0.23454451706883986,0.2878909979629603,0.27467821163531053,1.0
0.21558499222707483,-0.3887380287759357,0.2645318545221584,0.2457914239678744,0.19012696875937665,0.22885879733920758,0.22905610695312006,0.31397171783141553,0.306482795181159,0.31787091064131745,0.2395488353673166,0.30284196450129286,0.2699989400856109,0.22905610695312026,0.22905610695312026,0.2781708459862628,0.2699989400856109,0.0
0.20251923696610585,-0.2907436483316342,0.2652773982644118,0.24098512876167144,0.17329215113855145,0.21849182674037385,0.22018559844767976,0.2348246787243755,0.25165511279575337,0.24248254211263037,0.23420453930814927,0.22586398668046617,0.2715229885373763,0.22018559844768007,0.22018559844768007,0.28131691123964814,0.2715229885373763,1.0
0.23010250257942358,-0.3693011160233738,0.25337922084433295,0.23653434186059263,0.17791894541130973,0.22138941216456784,0.212127430595064,0.2982731228020655,0.30490501554994887,0.31379563626382234,0.24067363770349848,0.30036313390922187,0.24771260059234876,0.21212743059506378,0.21212743059506378,0.23415334640637622,0.24771260059234876,1.0
0.24607176802315206,-0.279405445454718,0.2596356792026917,0.24743747760847612,0.20337985679097526,0.23670079570525668,0.23213433594652427,0.2256671619113283,0.2697995234515159,0.22694983421820614,0.245700715642172,0.22177239988088507,0.26009670610105734,0.2321343359465244,0.2321343359465244,0.2586043345235131,0.26009670610105734,2.0
0.20760036964557277,-0.2615882792027913,0.2681583001043655,0.24941041362149233,0.19620644311506116,0.23248898513136024,0.2358509278381362,0.21127678618035053,0.24021623802105685,0.21079688164143784,0.23978866699951942,0.2010314662744772,0.2774524690086022,0.2358509278381361,0.23585092783813608,0.29409284632299987,0.2774524690086022,1.0
0.3389838099413147,-0.03482444793977069,0.26879593136073204,0.24910067604555108,0.19413045727011974,0.23125577560645927,0.2352654949141295,0.3054683015297752,0.20116630786522935,0.3051534093619241,0.23892276395613915,0.28996592254236947,0.27877349989899397,0.23526549491412974,0.2352654949141297,0.29692182851386617,0.27877349989899397,0.0
0.24897525792518718,-0.25105996088995786,0.25682951616076916,0.24335669866906762,0.19442097395127644,0.23142874832036428,0.2245406803912022,0.22435894261295605,0.25757175886121436,0.22941777418970594,0.2442888732061022,0.22289583486620151,0.2545047974742402,0.22454068039120237,0.2245406803912024,0.2475562918459526,0.2545047974742402,0.0
